gt_index,reasoning,extracted_index,confidence,is_match
417,"1. Normalize GT composition: Li24.0P4.0S20.0I4.0 is divided by 4 to yield Li6PS5I. 2. Normalize Extracted composition: EXT-2 is Li6PS5I. 3. Compare: The compositions are an exact match. 4. Check conductivity: GT conductivity is 1.26e-06 S/cm. EXT-2 conductivity is 1.3e-06 S/cm. The ratio is 1.3e-6/1.26e-6 = 1.03, which is within the 3x tolerance. EXT-11 also matches composition but its conductivity is slightly further away. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",2.0,low,False
418,"1. Normalize GT composition: Li24.4P3.6Ge0.4S20.0I4.0 is divided by 4 to yield Li6.1P0.9Ge0.1S5I. 2. Normalize Extracted composition: EXT-12 is Li6.08P0.92Ge0.08S5I. 3. Compare: The compositions are very similar, likely representing the same material with minor rounding differences. 4. Check conductivity: GT conductivity is 8.86e-06 S/cm. EXT-12 conductivity is 2e-05 S/cm. The ratio is 2e-5/8.86e-6 = 2.26, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",12.0,low,False
419,"1. Normalize GT composition: Li24.6P3.4Ge0.6S20.0I4.0 is divided by 4 to yield Li6.15P0.85Ge0.15S5I. 2. Normalize Extracted composition: EXT-13 is Li6.15P0.85Ge0.15S5I. 3. Compare: The compositions are an exact match. 4. Check conductivity: GT conductivity is 3.93e-05 S/cm. EXT-13 conductivity is 6e-05 S/cm. The ratio is 6e-5/3.93e-5 = 1.53, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",13.0,low,False
420,"1. Normalize GT composition: Li24.8P3.2Ge0.8S20.0I4.0 is divided by 4 to yield Li6.2P0.8Ge0.2S5I. 2. Normalize Extracted composition: EXT-14 is Li6.24P0.76Ge0.24S5I. 3. Compare: The compositions are very similar, likely representing the same material with minor rounding differences. 4. Check conductivity: GT conductivity is 3.19e-05 S/cm. EXT-14 conductivity is 5.5e-05 S/cm. The ratio is 5.5e-5/3.19e-5 = 1.72, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",14.0,low,False
421,"1. Normalize GT composition: Li25.0P3.0Ge1.0S20.0I4.0 is divided by 4 to yield Li6.25P0.75Ge0.25S5I. 2. Normalize Extracted composition: EXT-15 is Li6.26P0.74Ge0.26S5I. 3. Compare: The compositions are very similar. EXT-7 has an exact composition match, but its conductivity is orders of magnitude different. 4. Check conductivity: GT conductivity is 0.00015 S/cm. EXT-15 conductivity is 0.00013 S/cm. The ratio is 0.00015/0.00013 = 1.15, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",15.0,low,False
422,"1. Normalize GT composition: Li25.2P2.8Ge1.2S20.0I4.0 is divided by 4 to yield Li6.3P0.7Ge0.3S5I. 2. Normalize Extracted composition: EXT-16 is Li6.36P0.64Ge0.36S5I. 3. Compare: The compositions are similar, likely representing the same material with minor rounding differences. 4. Check conductivity: GT conductivity is 0.00065 S/cm. EXT-16 conductivity is 0.0006 S/cm. The ratio is 0.00065/0.0006 = 1.08, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",16.0,low,False
423,"1. Normalize GT composition: Li25.6P2.4Ge1.6S20.0I4.0 is divided by 4 to yield Li6.4P0.6Ge0.4S5I. 2. Normalize Extracted composition: EXT-17 is Li6.47P0.53Ge0.47S5I. 3. Compare: The compositions are similar, likely representing the same material with minor rounding differences. 4. Check conductivity: GT conductivity is 0.0015 S/cm. EXT-17 conductivity is 0.0015 S/cm. The ratio is 1.0, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",17.0,low,False
424,"1. Normalize GT composition: Li26.0P2.0Ge2.0S20.0I4.0 is divided by 4 to yield Li6.5P0.5Ge0.5S5I. 2. Normalize Extracted composition: EXT-18 is Li6.52P0.48Ge0.52S5I. 3. Compare: The compositions are very similar, likely representing the same material with minor rounding differences. 4. Check conductivity: GT conductivity is 0.00186 S/cm. EXT-18 conductivity is 0.002 S/cm. The ratio is 0.002/0.00186 = 1.08, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",18.0,low,False
425,"1. Normalize GT composition: Li26.4P1.6Ge2.4S20.0I4.0 is divided by 4 to yield Li6.6P0.4Ge0.6S5I. 2. Normalize Extracted composition: Several EXT entries (e.g., EXT-5, EXT-9) have this exact composition. 3. Compare: Compositions match. 4. Check conductivity: GT conductivity is 0.00521 S/cm. The matching EXT entries have conductivities in mS/cm, which convert to values like 5.4e-6 S/cm. This is over 100 times smaller than the GT value, failing the 3x tolerance check. No other suitable match was found.",,high,False
426,"1. Normalize GT composition: Li26.8P1.2Ge2.8S20.0I4.0 is divided by 4 to yield Li6.7P0.3Ge0.7S5I. 2. Normalize Extracted composition: EXT-19 is Li6.69P0.31Ge0.69S5I. 3. Compare: The compositions are almost identical. 4. Check conductivity: GT conductivity is 0.00554 S/cm. EXT-19 conductivity is 0.005 S/cm. The ratio is 0.00554/0.005 = 1.11, which is within the 3x tolerance. | PHYSICAL VALIDATION FAILED: Composition mismatch (diff=inf)",19.0,low,False
