ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
jqc,Li7.0Bi1.0O6.0,2,5.5071,6.0425,5.5231,116.912,120.867,62.234,1.58489e-06,10.1002/zaac.200500231,Match,
oi6,Li7.0Sb1.0O6.0,2,5.4307,5.8916,5.385,116.748,119.63,62.779,6.7e-08,10.1021/ic030208w,Match,
2t8,Li2.0V2.0P2.0O8.0F2.0,2,5.3115,7.2617,5.1744,107.934,98.444,107.547,8.1e-07,10.1016/j.ssi.2013.04.002,Match,
ro9,Li6.0B2.0P4.0O16.0,2,5.1888,7.4118,7.6735,101.179,105.067,90.335,9.6e-12,10.1039/C3DT52917G,Match,
7cr,Li4.0Na2.0B2.0P4.0O16.0,2,5.4344,7.3793,7.984,103.243,109.27,87.391,4.4e-18,10.1016/j.jssc.2014.11.024,Match,
47i,Li8.0P4.0O14.0,2,8.5632,7.1099,5.1858,111.426,89.991,103.055,1e-15,10.1016/j.jssc.2013.12.015,Match,
clt,Li6.0Cu1.0B4.0O10.0,2,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143,1e-13,10.1021/acs.inorgchem.8b01785,Match,
mdp,Li14.0P6.0S22.0,2,12.5009,6.0316,12.5303,102.845,113.202,74.467,0.0032,10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017,Match,
ix1,Li5.46Hf12.13P18.0O72.0,167,8.8306,8.8306,22.027,90.0,90.0,120.0,3.2e-07,10.1021/cm970078n,Match,
ptg,Li14.0P6.0S22.0,2,12.4258,6.0401,12.515,103.076,113.342,74.883,0.0086,10.1021/acs.chemmater.6b02163,No Match,
bq9,Li24.0Bi8.0O24.0,2,9.02743,9.7388,9.23917,114.046,89.295,107.538,2.4e-10,10.1016/j.ssi.2015.10.016,Close Match,"1.  **Method Name:** Solid State Reaction (also referred to as Ceramic Synthesis)

2.  **Procedure Summary:**
    The synthesis involved preparing an intimate mixture of bismuth oxide (Bi2O3) and lithium oxide (Li2O) as precursors. A 10 mol% excess of Li2O was used relative to the stoichiometric Bi:Li ratio required for the desired final oxide phase. This mixture was then ball milled for 30 minutes using a Spex Miller, with the stainless steel milling jars being filled and emptied in an argon-filled glove box to maintain an inert atmosphere. The resulting milled powder was pressed into pellets, each with a diameter of 13 mm and a thickness of 3 mm. These pellets were subsequently heated in a quartz crucible under specific temperature, duration, and atmospheric conditions to form the final lithium bismuth oxide compounds.

3.  **Key Conditions:**
    *   **Li24.0Bi8.0O24.0 (Li3BiO3):** Heated at 450 °C for 16 hours under Argon flow.
    *   **Li10.0Bi2.0O10.0 (Li5BiO5):** Heated at 650 °C for 24 hours in air.
    *   **Li8.0Bi8.0O16.0 (LiBiO2):** Heated at 500 °C for 24 hours in air.
    *   **Li12.0Bi4.0O16.0 (Li3BiO4):** Heated at 500 °C for 24 hours in air."
skm,Li10.0Bi2.0O10.0,8,9.97608,4.15207,5.94635,90.0,109.486,90.0,3.9e-09,10.1016/j.ssi.2015.10.016,Match,"1.  **Method Name:** Solid State Reaction (also referred to as Ceramic Synthesis)

2.  **Procedure Summary:**
    The synthesis involved preparing an intimate mixture of bismuth oxide (Bi2O3) and lithium oxide (Li2O) as precursors. A 10 mol% excess of Li2O was used relative to the stoichiometric Bi:Li ratio required for the desired final oxide phase. This mixture was then ball milled for 30 minutes using a Spex Miller, with the stainless steel milling jars being filled and emptied in an argon-filled glove box to maintain an inert atmosphere. The resulting milled powder was pressed into pellets, each with a diameter of 13 mm and a thickness of 3 mm. These pellets were subsequently heated in a quartz crucible under specific temperature, duration, and atmospheric conditions to form the final lithium bismuth oxide compounds.

3.  **Key Conditions:**
    *   **Li24.0Bi8.0O24.0 (Li3BiO3):** Heated at 450 °C for 16 hours under Argon flow.
    *   **Li10.0Bi2.0O10.0 (Li5BiO5):** Heated at 650 °C for 24 hours in air.
    *   **Li8.0Bi8.0O16.0 (LiBiO2):** Heated at 500 °C for 24 hours in air.
    *   **Li12.0Bi4.0O16.0 (Li3BiO4):** Heated at 500 °C for 24 hours in air."
pwr,Li7.22Si1.5P0.5O8.0,11,5.10536,6.11225,5.29671,90.0,90.3692,90.0,1.64e-07,10.1021/jacs.5b04444,Match,
